Altium Designer Pick and Place Locations
C:\Users\mrankin\OneDrive\Arduino_PCB\ESP32-S3\ESP32-S3_SPI_CO2\Project Outputs for Rev3\Pick Place for PCB_Rev3.csv

========================================================================================================================
File Design Information:

Date:       16/01/24
Time:       16:16
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description","Manufacturer","Part_Footprint","Part_Number","VALUE","Vendor"
"R13","0R","BottomLayer","RESC1005X40L_(0402_FOOTPRINT)","-238.000","272.315","270","RES 0R 0402","","0402","","0R",""
"X1","TFT_1.69"","TopLayer","TFT_GLASS_1.69_INCH_SPI","-1159.965","591.499","180","1.69 INCH TFT SPI GLASS COLOR ROUNDED CORNERS","","","LH169TIG01","TFT_1.69"","Aliexpress/Alibaba"
"C8","0.1uF","BottomLayer","CAPC1608X09L","-1394.341","808.997","0","CAP 0.1uF 0603","","0603","","0.1uF",""
"S2","Push","BottomLayer","1TS003A-1600-3500A","-1036.900","1101.162","180","SWITCH TACTILE R/A MICRO","HYP","","C255805","Switch R/A Micro","LCSC"
"S1","Push","BottomLayer","1TS003A-1600-3500A","-436.900","1096.162","180","SWITCH TACTILE R/A MICRO","HYP","","C255805","Switch R/A Micro","LCSC"
"L3","2.2nF","BottomLayer","INDC1005X40L","-237.800","378.860","90","Inductor 2.2nF","","","","2.2nF",""
"R15","10K","BottomLayer","RESC1005X40L_(0402_FOOTPRINT)","-1096.900","209.312","270","RES 10K 0402","","0402","","10K",""
"A1","ANT3216LL00R2400A","BottomLayer","ANT3216LL00R2400A","-299.257","80.514","180","Antenna Chip 2.4Gig","YAGEO","","ANT3216LL00R2400A","Chip Antenna","LCSC"
"J1","USB-C VERT","BottomLayer","TYPE-C-31-G-06","-733.965","866.042","180","CONN RECPT USB-C Vertical","Korean Elec","SMT","C283539","USB-C VERT","LCSC"
"U1","HT7833","BottomLayer","SOT95P280X144-5N","-764.656","511.596","0","IC LDO 3.3V 0.5A SOT23-5","Holtek","SOT23-5","C164106","HT7833","LCSC"
"X2","40 Mhz","BottomLayer","OSC20X16","-73.623","541.818","90","CRYSTAL 40MHZ 10PF SMD","ECS","","ECS-400-10-37B2-CKM","40 Mhz","Digi-Key"
"U3","ESP32-S3FN8","BottomLayer","QFN56_0.4mm_pitch_-_Rev2","-340.596","596.498","90","WIFI/Bluetooth, 8M PSRAM, QFN-56 7x7","Espressif","QFN56","ESP32-S3FN8","ESP32-S3FN8",""
"S4","=Value","BottomLayer","TL1015AF160QG","-1236.900","228.997","180","SWITCH MOMENTARY","","SMD","TL1015AF160QG","","Digi-Key"
"S3","=Value","BottomLayer","TL1015AF160QG","-1236.900","88.997","180","SWITCH MOMENTARY","","SMD","TL1015AF160QG","","Digi-Key"
"R12","10K","BottomLayer","RESC1005X40L_(0402_FOOTPRINT)","-932.215","273.997","180","RES 10K 0402","","0402","","10K",""
"R11","10K","BottomLayer","RESC1005X40L_(0402_FOOTPRINT)","-990.955","293.367","270","RES 10K 0402","","0402","","10K",""
"R10","10K","BottomLayer","RESC1005X40L_(0402_FOOTPRINT)","-468.272","291.065","90","RES 10K 0402","","0402","","10K",""
"R9","10K","BottomLayer","RESC1005X40L_(0402_FOOTPRINT)","-433.272","291.065","270","RES 10K 0402","","0402","","10K",""
"R8","10K","BottomLayer","RESC1005X40L_(0402_FOOTPRINT)","-923.765","1040.139","90","RES 10K 0402","","0402","","10K",""
"R7","10K","BottomLayer","RESC1005X40L_(0402_FOOTPRINT)","-323.765","1035.139","90","RES 10K 0402","","0402","","10K",""
"R6","10K","BottomLayer","RESC1005X40L_(0402_FOOTPRINT)","-1236.965","420.357","90","RES 10K 0402","","0402","","10K",""
"R5","5.1K","BottomLayer","RESC1005X40L_(0402_FOOTPRINT)","-686.721","729.092","90","RES 5.1K 0402","","0402","","5.1K",""
"R4","1K","BottomLayer","RESC1005X40L_(0402_FOOTPRINT)","-1157.280","335.672","0","RES 1K 0402","","0402","","1K",""
"R3","22K","BottomLayer","RESC1005X40L_(0402_FOOTPRINT)","-1378.587","975.750","0","RES 22K 0402","","0402","","22K",""
"R2","5.1K","BottomLayer","RESC1005X40L_(0402_FOOTPRINT)","-781.900","1003.682","270","RES 5.1K 0402","","0402","","5.1K",""
"R1","10R","BottomLayer","RESC1005X40L_(0402_FOOTPRINT)","-1036.052","445.357","270","RES 10R 0402","","0402","","10R",""
"Q1","MMST3904","BottomLayer","SC-70","-1139.564","415.081","0","TRANSISTOR NPN GP 40V SC-70","Changjiang","SC-70","C54879","MMST3904","LCSC"
"H1","QWiiC","BottomLayer","SM04B-SRSS-TB","-931.900","118.997","180","CONN HEADER 4POS .100 R/A QWIIC","JST","","PRT-14417","QWiiC","Digi-Key"
